sim,final_return_pct,max_dd_pct,phase1_outcome,phase1_days,phase1_return_pct,phase2_outcome,phase2_days,phase2_return_pct
1,165.19746119847954,5.4793692817829465,passed,85,8.087269406150055,passed,48,5.249545785240417
2,169.8416642389192,3.6300076922872355,passed,67,8.853571705179263,passed,63,5.889538135186645
3,157.57917367817979,14.926579886051522,breach_static,58,-11.559142534437083,breach_static,58,-11.559142534437083
4,179.16266688688438,5.7045720863734894,passed,251,8.234594623545387,passed,190,5.939048821984172
5,168.3787351292918,5.925523489084862,passed,95,8.514518328454512,passed,72,5.960013771361794
6,175.9807370298744,5.159239386388114,passed,101,9.705308440773685,passed,67,5.296482109092238
7,133.49834577495395,8.085839500016027,passed,91,8.138958303973109,passed,65,5.2245646087365705
8,183.33486558574964,5.476989621925579,passed,132,13.195812562248733,passed,123,5.660976542382801
9,121.0111419457415,13.049446231767698,passed,89,8.724518795823144,passed,63,6.71011228677485
10,161.59948207591935,4.645409494703986,passed,59,8.797304708963916,passed,54,5.227235252635465
11,124.35651291253751,4.289277298889827,passed,137,8.63259401430383,passed,85,7.049492000998692
12,140.8968297151875,7.235214447245456,passed,198,9.619041560630182,passed,81,5.002807003029441
13,188.8635025455465,6.261365890098372,passed,191,8.56505435870929,passed,81,5.317268550983245
14,112.26602171336081,7.3129303812656214,passed,221,9.559736775910288,passed,198,5.5922652978418474
15,161.96359955280366,3.9363317151830794,passed,109,8.56914790425769,passed,54,5.153089768301067
16,179.96618876556533,3.236408067053721,passed,21,8.908444519848867,passed,21,7.623642891003102
17,183.26627562562606,4.618806749034687,passed,84,8.010329886780255,passed,79,6.414199913713858
18,186.00221673169526,4.580440622021547,passed,53,9.766522435726266,passed,27,5.366502570311815
19,141.79851615325038,4.769691928540928,passed,59,8.489632169700734,passed,29,5.484935988489492
20,181.8268457600627,3.021413131586171,passed,73,8.0136622677766,passed,68,5.870921304066079
21,184.73127132093725,7.402905779624443,passed,44,8.179434079664926,passed,37,6.45401098259335
22,176.64322470279998,3.3780251474005576,passed,38,8.360948773836352,passed,34,5.105402283737548
23,186.17383144758253,4.666626318798447,passed,127,8.4540014230593,passed,63,6.512136984153671
24,143.47239033276446,12.042955378752735,passed,97,8.293690778651563,passed,21,5.070042724711676
25,146.9252650338655,4.652396381856951,passed,129,8.867535741291888,passed,100,5.245675196992261
26,236.23081360722958,4.144643563878143,passed,177,8.685789458438741,passed,127,5.203791760129994
27,110.42432342196209,10.88697194713778,passed,44,8.695851551688506,passed,12,5.32243043625682
28,137.5297282906197,5.351449470175605,passed,48,8.164004426172422,passed,47,6.796952803427048
29,200.42090103730476,4.33422769470476,passed,57,8.17698026457716,passed,21,6.364694038686647
30,202.06804081857626,3.7285701077177524,passed,22,9.95939259090235,passed,21,5.852088283477808
31,169.46327986477323,4.890430084719193,passed,84,10.156625459662783,passed,48,5.145607733316582
32,135.35170152500206,5.869937261778023,passed,51,8.04440632540626,passed,22,5.531827885740759
33,138.71772919639653,6.920134795090509,passed,127,8.012323244946318,passed,110,5.418512935346675
34,157.74379672553906,4.213909671490148,passed,146,9.29435385909212,passed,73,5.174349783895837
35,195.26870301977718,5.330684069048807,passed,54,9.65904844013059,passed,18,5.067075987062797
36,187.57058556619822,4.513064829008544,passed,100,10.236363370371215,passed,89,6.60809630337138
37,181.28432419699564,8.935347111422038,passed,136,10.134047565292391,passed,130,7.771487429275092
38,164.0825055902718,5.043770019238981,passed,164,8.01091081843175,passed,129,5.956282759887954
39,141.18602934053217,10.311290303781496,passed,29,8.006220179818202,passed,21,5.892779644252788
40,203.32317254030824,6.364280834900131,passed,100,8.973076845483918,passed,69,5.473233965719659
41,164.10005463505803,3.671771890316824,passed,93,9.044915982706092,passed,82,6.877699803207427
42,170.69744633326133,6.833444238908985,passed,53,8.982013193209415,passed,30,5.136642515034673
43,192.6834026829656,2.7473559247179127,passed,56,9.153679700459172,passed,3,5.3827289318935545
44,181.93153277374398,5.061830918149782,passed,116,9.260561992235727,passed,25,7.45118813479988
45,141.67022168133227,11.720049332145766,passed,63,9.260696611763674,passed,57,7.8146951754560545
46,180.7105341692601,6.466970527029785,passed,161,9.076581381430127,passed,139,5.666848670123836
47,180.40847225516404,5.142677733912839,passed,44,10.2751391547365,passed,20,5.007328243992726
48,130.2098934529025,6.337693569282788,passed,94,8.216015796993737,passed,68,6.681855661942926
49,131.99026539730943,4.147047031959343,passed,22,8.643854476025382,passed,13,5.695272970658949
50,181.6553726072007,6.419300512001367,passed,94,8.344115592605416,passed,53,5.071135361875179
51,176.66984942845696,4.542299395991713,passed,28,8.113632656162562,passed,8,5.221407706399028
52,137.82114594980465,6.226614046688446,passed,22,8.083828494863399,passed,19,5.020851420127337
53,175.47555294299167,3.874140846715556,passed,45,8.425690891313863,passed,28,5.00027843343076
54,160.30963041081537,3.9971010443501243,passed,28,8.356672462952108,passed,12,5.604169185469732
55,183.7747711479127,7.899998711612917,passed,55,8.33201045625158,passed,22,5.747190360369214
56,198.61473341719642,4.262062186969971,passed,31,8.235680559997371,passed,21,5.271749825987726
57,180.13199991009304,8.46477076475362,passed,91,8.53240688457233,passed,75,5.912488089730039
58,193.77946021583838,5.371058786269893,passed,54,10.615251195619702,passed,52,5.323280877684344
59,146.4309583147446,7.114827938522714,passed,148,8.190021901944423,passed,37,5.000491247309857
60,186.0397913778064,3.7422460214970323,passed,130,8.570532622258153,passed,98,5.2442208189915185
61,159.55751019853386,7.0806052574841125,passed,138,12.010354144073364,passed,137,6.741073479627535
62,233.94400069520157,5.3525233728132156,passed,40,8.00586109457555,passed,8,5.652368036467426
63,204.03455545191412,4.23241716179446,passed,31,8.87233362756743,passed,21,5.043068266128747
64,164.34413650568695,6.917090405872655,passed,189,8.726261948321845,passed,159,5.347785496431512
