sim,final_return_pct,max_dd_pct,phase1_outcome,phase1_days,phase1_return_pct,phase2_outcome,phase2_days,phase2_return_pct
1,546.4015280717875,4.724644793429123,passed,31,8.196336767558975,passed,23,6.10133761952929
2,586.2340700704991,4.9912839945222265,passed,25,8.124393761816684,passed,22,6.226213688920779
3,524.0453412367538,6.808047119034455,passed,21,8.997015553308607,passed,11,5.296429188315632
4,584.0618849504743,3.1356464102626886,passed,11,8.176149445714099,passed,7,5.606814566099683
5,695.2411100902477,5.256186041493673,passed,26,8.41761103494212,passed,22,5.084199971239967
6,562.8289045729693,8.069331549958104,passed,41,8.21527395687507,passed,40,6.5836619348069725
7,658.3630421459831,10.271770459750794,passed,30,8.003176100315024,passed,28,7.179335750283533
8,586.7658612046168,6.480686112514246,passed,19,8.142645997337672,passed,11,5.001960376019476
9,617.7352667318039,4.98168705611067,passed,17,8.004654236913233,passed,12,5.22052202329939
10,540.1118340141571,12.392859915991714,passed,94,8.033703429690476,passed,89,5.669679519327553
11,526.2439372582083,9.312713940638268,passed,15,9.10427013422992,passed,13,5.562955033580241
12,588.9625900361044,4.400506724956331,passed,11,9.176949904310948,passed,8,5.154400634631617
13,513.5097922646036,5.4631407108741215,passed,16,9.653969940313956,passed,3,5.328979888561469
14,611.0620565692352,4.3047418120823,passed,9,8.397632181336734,passed,8,7.193381783944486
15,576.1786972976864,3.927959094916517,passed,11,8.114170061513004,passed,10,5.032037890579999
16,534.4865920243711,5.145636837299802,passed,38,8.142280507703937,passed,11,6.068304412634284
17,586.7003728163766,5.1025562322887,passed,25,8.70734487140874,passed,14,5.00358449163234
18,569.1917934654712,4.750049274091383,passed,55,8.86801894687732,passed,30,5.482356136413169
19,612.5980691784437,4.642998048555679,passed,51,8.671901757046463,passed,12,5.12073204153054
20,598.1476256990846,4.245594338765348,passed,6,9.053831506844755,passed,3,5.658598967434236
21,550.6561716448061,8.416537708778158,passed,11,9.551539433209166,passed,6,5.218518573565878
22,456.43387234333056,7.203505538336065,passed,24,8.574271790675226,passed,19,5.014441879270559
23,556.1319075546172,7.6163845167458515,passed,81,8.01505148493229,passed,24,5.057753413107324
24,587.1567184842477,5.263791953133575,passed,11,9.109649045527114,passed,3,6.655653544097451
25,569.9207753072396,6.867089464750889,passed,28,8.932241164818343,passed,20,5.2420046424044076
26,526.7331958539577,6.483930172367562,passed,46,9.791108888916122,passed,39,5.789602507428637
27,631.6046294524904,4.660409266798929,passed,22,8.37720418739134,passed,15,6.266883386974009
28,662.1142344276146,4.831906438171002,passed,62,8.04716210302001,passed,46,5.0105982919564696
29,537.0779293976233,6.396775810179356,passed,27,9.475875165978277,passed,21,6.122362218849764
30,512.5483544280606,6.50302195446994,passed,23,8.047359624509443,passed,12,5.432550713266759
31,615.520648247145,3.269795919107284,passed,6,9.303971689125067,passed,5,5.095956228488929
32,655.2296339340247,8.136753695655866,passed,22,8.171153021423837,passed,16,5.004005868189054
33,617.5411699399983,5.9341577971910535,passed,45,9.00827038304175,passed,38,5.519946659217068
34,621.3510130620535,3.7192011129305995,passed,33,8.009804328164716,passed,12,5.58111677165527
35,599.4667052384326,6.449626416320118,passed,11,8.743873794793512,passed,7,5.0043820938146855
36,591.4537816586468,3.5560588559106687,passed,5,8.291757038427106,passed,3,5.7240772175867205
37,532.4594319951708,5.788320252087536,passed,25,8.011247797493937,passed,15,5.225798739278997
38,544.199946262217,8.064484078809654,passed,14,8.436787226077747,passed,11,5.849604335584324
39,560.9114310587678,5.181725101998304,passed,11,9.284526341647602,passed,10,5.1422999628829125
